,0,1,2,3
0,Lynmar Estate 2017 Pinot Noir (Russian River Valley),97,This is a powerful blend of vineyard sites across the appellation. Tart ...,$50
1,Domaine de Saje 2016 Marquis Anselme Mathieu Red (Châteauneuf-du-Pape),96,There's refinement in this wine composed of 85% Grenache augmented by a ...,$48
2,Laurent-Perrier NV Grand Siècle Itération 24 Brut  (Champagne),96,"A grand wine, this is the 24th blend of Grand Siécle, the ...",$150
3,Oremus 2010 Aszú 5 Puttonyos White (Tokaj),95,"Golden amber in the glass, this delightful Hungarian sweet wine has aromas ...",$94
4,Arietta 2017 On the White Keys White (Sonoma-Napa),95,"This is a beautiful blend of Sauvignon Blanc, Sauvignon Musque and Sémillon ...",$65
5,Domaine de Saje 2016 1600 Red (Châteauneuf-du-Pape),95,This Châteauneuf-du-Pape bottling is a rare blend of 62% Counoise augmented by ...,$52
6,Jermann 2016 Vintage Tunina White (Venezia Giulia),94,"One of Italy's most iconic white wines, this radiant blend of Chardonnay, ...",$70
7,E. Guigal 2017 Château de Nalys Grand Vin White (Châteauneuf-du-Pape),94,"Whiffs of butterscotch, vanilla and banana swirl into fresh apricot and grapefruit ...",$105
8,Domaine Lou Frejau 2016 Cuvée XIII Cépages Red (Châteauneuf-du-Pape),94,"In this wine, ripe but elegantly restrained blackberry and cassis are edged ...",N/A
9,Maso Martis 2015 Brut Riserva Sparkling (Trento),94,A blend of 70% Pinot Nero and 30% Chardonnay—both organically farmed—this savory ...,$60
10,Jermann 2017 Vintage Tunina White (Venezia Giulia),93,"Aromas of spring blossom, white stone fruit and honeydew shape the enticing ...",$70
11,Ca' dei Zago 2018 Mariarosa White (Colli Trevigiani),93,"Baked bread, Spanish broom, hay and mature yellow-apple aromas mingle together on ...",$35
12,Sanguis 2016 Misfit Red (Central Coast),93,"Juicy aromas of cherry cola, charred wood and roasted meat show on ...",$50
13,Cocchi 2014 TotoCorde Brut Sparkling (Alta Langa),93,"A blend of 80% Pinot Nero and 20% Chardonnay, this offers delicate ...",$38
14,Charles Mignon & Fils NV Cuvée Comte de Marne Grand Cru Brut  (Champagne),93,Blending fruit from grand cru vineyards in the Montagne de Reims and ...,$73
15,Sanguis 2016 Verve Red (Central Coast),93,"Boysenberry, violets and black pepper show on the nose of this blend ...",$80
16,Enrico Serafino 2015 Oudeis Sparkling (Alta Langa),93,"A blend of 80% Pinot Nero and 20% Chardonnay, this creamy sparkler opens ...",$25
17,Tardieu-Laurent 2017  Condrieu,92,"This perfumed Viognier wafts of candied pineapple, cinnamon and vanilla. Unctuous and ...",$75
18,E. Guigal 2017 White (Châteauneuf-du-Pape),92,"While hints of apple and nut are demure on the nose, this ...",$57
19,E. Guigal 2017 Saintes Pierres de Nalys White (Châteauneuf-du-Pape),92,"Heady proportions of Clairette, Bourbolenc and Grenache Blanc accented by lesser amounts ...",$58
20,Tardieu-Laurent 2017 Vieilles Vignes White (Châteauneuf-du-Pape),92,Whiffs of smoked hazelnut and vanilla accent delicate tangerine and yellow apple ...,$65
21,Clos de L'Oratoire des Papes 2017 White (Châteauneuf-du-Pape),92,Hints of green banana and apricot are edged by crushed stone on ...,$54
22,Sandhi 2017 Chardonnay (Santa Barbara County),92,Intriguing and exotic lime and green-plum aromas meet with white flowers and ...,$45
23,Guy Charlemagne NV Brut Nature  (Champagne),92,"Produced from grapes grown in the Côte de Sézanne, south of Epernay, ...",$55
24,Banfi 2014 Cuvée Aurora Extra Brut Sparkling (Alta Langa),92,"White spring-flower, bread-crust and Anjou pear aromas delicately waft out of the ...",N/A
25,Matthews 2018 Reserve Sauvignon Blanc (Columbia Valley (WA)),92,"Fermented in concrete eggs and puncheons, this wine is a blend of ...",$34
26,Felsina 2013 Brut Millesimato Sparkling (Vino Spumante),92,"A blend of 60% Sangiovese, 20% Pinot Nero and 20% Chardonnay, this ...",$40
27,Monochrome 2018 Mix and Match White (California),91,"Grapefruit, green-apple and pear-flesh aromas arise on this atypical blend of 46% ...",$41
28,Monochrome 2018 Sense Out of Place White (California),91,Clean and grassy aromas meet with rainy cement and a hint of ...,$41
29,Abbot's Passage 2018 Sightline White (Clarksburg),91,"This full-bodied wine shows a more serious side of Chenin Blanc, wrapping ...",$35
30,Markus Wine Co 2018 Nimmo White (Lodi),91,"This attractive, spicy and complex blend balances ripe fruit with crisp acidity ...",$24
31,La Tunella 2017 Biancosesto White (Friuli Colli Orientali),91,"A fifty-fifty blend of Friulano and Ribolla Gialla aged in large casks, ...",$30
32,L'Ecole No. 41 2018 Luminesce Seven Hills Vineyard Estate Grown Sauvignon Blanc-Sémillon (Walla Walla Valley (WA)),91,"Sauvignon Blanc takes the lead in this vintage, making up 55% of ...",$22
33,Matthews 2018 Sauvignon Blanc (Columbia Valley (WA)),91,This wine is a blend of fruit from Laura Lee Vineyard on ...,$24
34,Gál Tibor 2018 Ti Ti Egri Csillag White (Eger),90,This Hungarian Egri Csillag is a blend of white grapes grown in ...,$15
35,Imagery 2017 White Burgundy White (North Coast),90,"This big, broad and indulgent wine overflows with honey, nut and butter ...",$32
36,Château de Pierreux 2017 Chardonnay  (Beaujolais Blanc),90,This magnificent estate at the foot of Mont Brouilly shows a Burgundian ...,$20
37,Château de Nages 2017 JT White (Costières de Nîmes),90,Smoke and nut accent bright yellow apple and tangerine in this full-bodied ...,$24
38,Michel Gassier 2017 Nostre Païs White (Costières de Nîmes),90,"A blend of five regional white-grape varieties, this opulent dry wine juxtaposes ...",$22
