title,description,points,price
Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero),"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on ...",87,$28
Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia),"Spicy, fresh and clean, this would pair with fried seafood or spaghetti ...",86,$13
Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),"The Monica grape often shows a rustic or raw quality, with aromas ...",85,$14
Poggioventoso 2015 Poetico White (Toscana),"Made with Vermentino, Malvasia di Candia Aromatica and Petit Manseng, this easy-drinking ...",87,$19
Marques de Griñon 2010 Single Vineyard Estate Bottled Graciano (Dominio de Valdepusa),"Ripe aromas of raisin, black plum and horsehide are pointy and peppery. ...",91,$50
Terlan 2014 Nova Domus Riserva White (Alto Adige),"Made with 60% Pinot Bianco, 30% Chardonnay and 10% Sauvignon Blanc, this ...",90,$62
MCV 2014 1105 Red (Paso Robles),"This blend of 60% Petite Sirah, 21% Syrah, 7% Grenache, 6% Petit ...",90,$48
Quinta de Foz de Arouce 2013 Red (Beira Atlantico),Wood aging gives this ripe blend of Baga and Touriga Nacional its ...,90,$20
Robert Mondavi 2015 Fumé Blanc (Napa Valley),"Pithy, with grapefruit and lemon peel flavors, this wine is deceptively crisp ...",90,$20
Samuel Tinon 2015 Megyer Dry Furmint (Tokaj),From a vineyard in Northern Tokaj this dry Furmint has aromas of ...,90,$36
Domaine du Tariquet 2007 Ugni Blanc-Colombard (Vin de Pays des Côtes de Gascogne),"Dominated by Ugni Blanc, the grape also used in the local Armagnac ...",85,$9
Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red (Mendoza),"For an under-$15 red blend, Corte has it going on. It''s rich ...",89,$14
Lungarotti 2007 Torre di Giano Vigna il Pino White (Torgiano),This vineyard-designate blend of Trebbiano and Grechetto opens with a luminous golden ...,89,$40
My Big Fat Greek Wine 2010 Assyrtico (Santorini),"Lively aromas of lemon, grapefruit and melon start this white from Greece. ...",89,$15
Domaine Daniel Dugois 2006 Vin Jaune Savagnin (Arbois),"Rich almonds, ripe peaches and a smoky, oxidized character all come together ...",92,$45
Domaine Sigalas 2010 Asirtiko Athiri White (Santorini),"This fuller-bodied white blend offers pineapple, kiwi and citrus on the nose, ...",87,$18
Lucas Vineyards 2007 Vignoles (Finger Lakes),"This white has a light, delicate nose of citrus and apricot. On ...",86,$11
Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),Made in a solera system from wine going back nearly 100 years ...,98,$350
Chambers Rosewood Vineyards NV Rare Muscadelle (Rutherglen),"From over 100-year-old vines, this historic Rutherglen fortified wine is as beautiful ...",97,$375
Torbreck 2012 RunRig Shiraz-Viognier (Barossa),"RunRig is always complex, and the 2012 doesn''t disappoint in that regard, ...",97,$225
Oremus 2005 Eszencia  (Tokaji),"This amber-colored Hungarian stunner has ethereal aromas of raw honey, beeswax, freshly ...",96,$320
Torbreck 2012 Descendant Shiraz-Viognier (Barossa Valley),"Bacon and tapenade elements merge easily on the nose, followed by a ...",95,$125
